Value,Footprint
10u,2012Metric
100n,1608Metric
1u,1608Metric
1n,1608Metric
10n,1608Metric
100u,CP_Elec_6.3x7.7
22p,1608Metric
D,SOD-123
D_TVS,SMA
LED,1608Metric
WS2812C,2020Metric
Fuseholder,Keystone_3568
BNX022,Murata_BNX025
T_conn_male,T_conn_horizontal
T_conn_female,T_conn_horizontal
USB_A_Stacked,Wuerth_61400826021
PinHeader_2x07,P1.27mm_SMD
Conn_01x04,XA_S04B-XASK-1
PinHeader_1x02,P2.54mm_Vertical
Conn_01x02,XA_S02B-XASK-1
8.2uH,Vishay_IHLP-6767
IPT007N06N,PG-HSOF-8-1
TPH11006NL,SOP_Advance
100k,1608Metric
10k,1608Metric
5k,1608Metric
100,1608Metric
120,1608Metric
10,1608Metric
330,1608Metric
2.2k_Potentiometer,Murata_PVZ3A
SW_Push,TVAF06-A020B-R
SW_SPDT,IS-1245T-G
L7812,TO-252-2
NCP1034,SOIC-16
L78L12_SOT89,SOT-89-3
MCP1700-3302E,SOT-23
STM32F303K8Tx,LQFP-32
IM920s,IM920s
MCP2551-I-SN,SOIC-8
TLP152,SO-6_5pin
16MHz,HC49-SD
